configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,44.367,44.367,0.0,44.367,44.367,44.367,44.367
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,44.607,44.607,0.0,44.607,44.607,44.607,44.607
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,44.45,44.45,0.0,44.45,44.45,44.45,44.45
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,23.317,23.317,0.0,23.317,23.317,23.317,23.317
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,44.016,44.016,0.0,44.016,44.016,44.016,44.016
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,44.861,44.861,0.0,44.861,44.861,44.861,44.861
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,44.033,44.033,0.0,44.033,44.033,44.033,44.033
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,43.555,43.555,0.0,43.555,43.555,43.555,43.555
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,44.759,44.759,0.0,44.759,44.759,44.759,44.759
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,44.202,44.202,0.0,44.202,44.202,44.202,44.202
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,44.105,44.105,0.0,44.105,44.105,44.105,44.105
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,44.539,44.539,0.0,44.539,44.539,44.539,44.539
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,44.82,44.82,0.0,44.82,44.82,44.82,44.82
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,42.164,42.164,0.0,42.164,42.164,42.164,42.164
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,29.879,29.879,0.0,29.879,29.879,29.879,29.879
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,43.715,43.715,0.0,43.715,43.715,43.715,43.715
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,44.014,44.014,0.0,44.014,44.014,44.014,44.014
