configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.486,85.486,0.0,85.486,85.486,85.486,85.486
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.416,85.416,0.0,85.416,85.416,85.416,85.416
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.462,85.462,0.0,85.462,85.462,85.462,85.462
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.432,85.432,0.0,85.432,85.432,85.432,85.432
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.372,85.372,0.0,85.372,85.372,85.372,85.372
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.413,85.413,0.0,85.413,85.413,85.413,85.413
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.414,85.414,0.0,85.414,85.414,85.414,85.414
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.368,85.368,0.0,85.368,85.368,85.368,85.368
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.425,85.425,0.0,85.425,85.425,85.425,85.425
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.418,85.418,0.0,85.418,85.418,85.418,85.418
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.414,85.414,0.0,85.414,85.414,85.414,85.414
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.467,85.467,0.0,85.467,85.467,85.467,85.467
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.406,85.406,0.0,85.406,85.406,85.406,85.406
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.446,85.446,0.0,85.446,85.446,85.446,85.446
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.399,85.399,0.0,85.399,85.399,85.399,85.399
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.413,85.413,0.0,85.413,85.413,85.413,85.413
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.412,85.412,0.0,85.412,85.412,85.412,85.412
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.508,85.508,0.0,85.508,85.508,85.508,85.508
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.435,85.435,0.0,85.435,85.435,85.435,85.435
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.415,85.415,0.0,85.415,85.415,85.415,85.415
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.407,85.407,0.0,85.407,85.407,85.407,85.407
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.379,85.379,0.0,85.379,85.379,85.379,85.379
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.411,85.411,0.0,85.411,85.411,85.411,85.411
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.406,85.406,0.0,85.406,85.406,85.406,85.406
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.406,85.406,0.0,85.406,85.406,85.406,85.406
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.389,85.389,0.0,85.389,85.389,85.389,85.389
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.467,85.467,0.0,85.467,85.467,85.467,85.467
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.458,85.458,0.0,85.458,85.458,85.458,85.458
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.372,85.372,0.0,85.372,85.372,85.372,85.372
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.455,85.455,0.0,85.455,85.455,85.455,85.455
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.412,85.412,0.0,85.412,85.412,85.412,85.412
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.388,85.388,0.0,85.388,85.388,85.388,85.388
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.432,85.432,0.0,85.432,85.432,85.432,85.432
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.415,85.415,0.0,85.415,85.415,85.415,85.415
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.487,85.487,0.0,85.487,85.487,85.487,85.487
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.421,85.421,0.0,85.421,85.421,85.421,85.421
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.437,85.437,0.0,85.437,85.437,85.437,85.437
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.425,85.425,0.0,85.425,85.425,85.425,85.425
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.484,85.484,0.0,85.484,85.484,85.484,85.484
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.403,85.403,0.0,85.403,85.403,85.403,85.403
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.448,85.448,0.0,85.448,85.448,85.448,85.448
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.438,85.438,0.0,85.438,85.438,85.438,85.438
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.449,85.449,0.0,85.449,85.449,85.449,85.449
pb-178-tdd-low-latency-sr-per-1.cfg,0,1436,70.546,70.546,0.0,70.546,70.546,70.546,70.546
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.406,85.406,0.0,85.406,85.406,85.406,85.406
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.446,85.446,0.0,85.446,85.446,85.446,85.446
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.474,85.474,0.0,85.474,85.474,85.474,85.474
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.328,85.328,0.0,85.328,85.328,85.328,85.328
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.379,85.379,0.0,85.379,85.379,85.379,85.379
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.321,85.321,0.0,85.321,85.321,85.321,85.321
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,85.446,85.446,0.0,85.446,85.446,85.446,85.446
