configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,63.6,63.6,0.0,63.6,63.6,63.6,63.6
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,71.188,71.188,0.0,71.188,71.188,71.188,71.188
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,71.296,71.296,0.0,71.296,71.296,71.296,71.296
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,76.144,76.144,0.0,76.144,76.144,76.144,76.144
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,67.474,67.474,0.0,67.474,67.474,67.474,67.474
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,48.14,48.14,0.0,48.14,48.14,48.14,48.14
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,55.727,55.727,0.0,55.727,55.727,55.727,55.727
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,75.732,75.732,0.0,75.732,75.732,75.732,75.732
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,76.66,76.66,0.0,76.66,76.66,76.66,76.66
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,76.667,76.667,0.0,76.667,76.667,76.667,76.667
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,53.24,53.24,0.0,53.24,53.24,53.24,53.24
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,50.017,50.017,0.0,50.017,50.017,50.017,50.017
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,43.096,43.096,0.0,43.096,43.096,43.096,43.096
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,76.722,76.722,0.0,76.722,76.722,76.722,76.722
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,50.59,50.59,0.0,50.59,50.59,50.59,50.59
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,76.613,76.613,0.0,76.613,76.613,76.613,76.613
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,57.286,57.286,0.0,57.286,57.286,57.286,57.286
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,74.268,74.268,0.0,74.268,74.268,74.268,74.268
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,64.456,64.456,0.0,64.456,64.456,64.456,64.456
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,76.241,76.241,0.0,76.241,76.241,76.241,76.241
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,76.668,76.668,0.0,76.668,76.668,76.668,76.668
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,76.173,76.173,0.0,76.173,76.173,76.173,76.173
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,113.385,113.385,0.0,113.385,113.385,113.385,113.385
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,126.843,126.843,0.0,126.843,126.843,126.843,126.843
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,115.063,115.063,0.0,115.063,115.063,115.063,115.063
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,130.774,130.774,0.0,130.774,130.774,130.774,130.774
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,136.154,136.154,0.0,136.154,136.154,136.154,136.154
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,163.482,163.482,0.0,163.482,163.482,163.482,163.482
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,162.851,162.851,0.0,162.851,162.851,162.851,162.851
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,138.562,138.562,0.0,138.562,138.562,138.562,138.562
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,165.592,165.592,0.0,165.592,165.592,165.592,165.592
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,165.565,165.565,0.0,165.565,165.565,165.565,165.565
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,138.706,138.706,0.0,138.706,138.706,138.706,138.706
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,148.461,148.461,0.0,148.461,148.461,148.461,148.461
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,163.514,163.514,0.0,163.514,163.514,163.514,163.514
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,165.588,165.588,0.0,165.588,165.588,165.588,165.588
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,163.299,163.299,0.0,163.299,163.299,163.299,163.299
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,162.136,162.136,0.0,162.136,162.136,162.136,162.136
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,135.194,135.194,0.0,135.194,135.194,135.194,135.194
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,110.784,110.784,0.0,110.784,110.784,110.784,110.784
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,142.189,142.189,0.0,142.189,142.189,142.189,142.189
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,163.18,163.18,0.0,163.18,163.18,163.18,163.18
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,165.155,165.155,0.0,165.155,165.155,165.155,165.155
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,165.32,165.32,0.0,165.32,165.32,165.32,165.32
